Data,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2020-04-09,12.0,29.0,6.0,14.0,408.0,76.0,8.0
2020-04-10,13.0,30.0,7.0,32.0,500.0,57.0,8.0
2020-04-11,23.0,64.0,11.0,62.0,727.0,40.0,10.0
2020-04-12,54.0,135.0,23.0,88.0,804.0,26.0,15.0
2020-04-13,62.0,137.0,27.0,54.0,754.0,41.0,17.0
2020-04-14,35.0,109.0,14.0,42.0,638.0,59.0,12.0
2020-04-15,75.0,182.0,51.0,74.0,1400.0,45.0,13.0
2020-04-16,57.0,161.0,33.0,49.0,979.0,61.0,15.0
2020-04-17,48.0,90.0,21.0,53.0,683.0,57.0,12.0
2020-04-18,11.0,42.0,4.0,29.0,352.0,67.0,11.0
2020-04-19,50.0,87.0,21.0,56.0,758.0,36.0,6.0
2020-04-20,70.0,84.0,11.0,55.0,692.0,46.0,9.0
2020-04-21,127.0,160.0,29.0,71.0,996.0,19.0,12.0
2020-04-22,173.0,183.0,47.0,67.0,1169.0,31.0,12.0
2020-04-23,184.0,192.0,28.0,62.0,1196.0,16.0,12.0
2020-04-24,89.0,117.0,15.0,40.0,887.0,37.0,15.0
2020-04-25,12.0,39.0,6.0,39.0,425.0,50.0,15.0
2020-04-26,65.0,150.0,36.0,79.0,1042.0,43.0,16.0
2020-04-27,64.0,128.0,47.0,69.0,948.0,74.0,18.0
2020-04-28,72.0,119.0,55.0,60.0,1616.0,74.0,16.0
2020-04-29,15.0,62.0,7.0,24.0,356.0,80.0,20.0
2020-04-30,18.0,54.0,8.0,44.0,379.0,65.0,21.0
2020-05-01,35.0,91.0,20.0,48.0,565.0,69.0,17.0
2020-05-02,81.0,127.0,44.0,64.0,1000.0,92.0,19.0
2020-05-03,85.0,76.0,27.0,30.0,671.0,105.0,18.0
2020-05-04,102.0,121.0,30.0,37.0,638.0,93.0,19.0
2020-05-05,197.0,242.0,48.0,72.0,1367.0,78.0,21.0
2020-05-06,221.0,254.0,35.0,50.0,1406.0,111.0,23.0
2020-05-07,179.0,231.0,52.0,86.0,1404.0,92.0,23.0
2020-05-08,130.0,160.0,73.0,65.0,1398.0,75.0,20.0
2020-05-09,52.0,68.0,22.0,63.0,498.0,44.0,18.0
2020-05-10,51.0,99.0,17.0,60.0,546.0,57.0,21.0
2020-05-11,43.0,133.0,21.0,71.0,523.0,44.0,23.0
2020-05-12,36.0,106.0,23.0,63.0,521.0,58.0,22.0
2020-05-13,86.0,182.0,70.0,88.0,1596.0,69.0,21.0
2020-05-14,49.0,121.0,21.0,50.0,687.0,80.0,23.0
2020-05-15,63.0,161.0,65.0,66.0,1383.0,96.0,22.0
2020-05-16,133.0,118.0,34.0,61.0,860.0,88.0,21.0
2020-05-17,105.0,139.0,34.0,53.0,1233.0,89.0,21.0
2020-05-18,120.0,155.0,21.0,53.0,1104.0,69.0,21.0
2020-05-19,56.0,172.0,11.0,26.0,512.0,58.0,21.0
2020-05-20,39.0,145.0,21.0,50.0,399.0,72.0,21.0
2020-05-21,97.0,239.0,45.0,79.0,771.0,95.0,22.0
2020-05-22,60.0,142.0,43.0,76.0,1297.0,83.0,22.0
2020-05-23,62.0,139.0,36.0,96.0,1752.0,72.0,23.0
2020-05-24,104.0,177.0,21.0,75.0,1462.0,57.0,24.0
2020-05-25,60.0,121.0,31.0,62.0,879.0,87.0,24.0
2020-05-26,97.0,119.0,12.0,56.0,1366.0,19.0,21.0
2020-05-27,67.0,83.0,7.0,54.0,788.0,32.0,19.0
2020-05-28,70.0,87.0,3.0,70.0,929.0,18.0,20.0
2020-05-29,15.0,58.0,5.0,32.0,275.0,77.0,24.0
2020-05-30,55.0,139.0,21.0,82.0,631.0,98.0,25.0
2020-05-31,95.0,158.0,32.0,53.0,819.0,128.0,24.0
2020-06-01,70.0,123.0,9.0,61.0,571.0,78.0,25.0
2020-06-02,154.0,184.0,15.0,68.0,1546.0,72.0,22.0
2020-06-03,118.0,156.0,15.0,79.0,1267.0,111.0,25.0
2020-06-04,123.0,167.0,13.0,89.0,1671.0,60.0,21.0
2020-06-05,123.0,118.0,3.0,56.0,1537.0,22.0,19.0
2020-06-06,127.0,137.0,4.0,59.0,2270.0,11.0,19.0
2020-06-07,122.0,132.0,6.0,68.0,2254.0,6.0,20.0
2020-06-08,170.0,197.0,7.0,81.0,2529.0,8.0,20.0
2020-06-09,48.0,55.0,6.0,66.0,954.0,22.0,18.0
2020-06-10,23.0,36.0,5.0,70.0,538.0,42.0,21.0
2020-06-11,62.0,89.0,6.0,88.0,546.0,59.0,21.0
2020-06-12,60.0,72.0,14.0,69.0,825.0,106.0,21.0
2020-06-13,113.0,139.0,32.0,85.0,1200.0,130.0,24.0
2020-06-14,110.0,160.0,34.0,79.0,804.0,155.0,26.0
2020-06-15,127.0,187.0,38.0,109.0,1346.0,100.0,25.0
2020-06-16,173.0,184.0,37.0,91.0,1808.0,37.0,22.0
2020-06-17,44.0,57.0,8.0,56.0,562.0,86.0,26.0
2020-06-18,48.0,99.0,14.0,91.0,642.0,80.0,27.0
2020-06-19,52.0,85.0,19.0,59.0,735.0,114.0,28.0
2020-06-20,56.0,93.0,20.0,97.0,364.0,55.0,26.0
2020-06-21,51.0,102.0,13.0,81.0,513.0,75.0,25.0
2020-06-22,50.0,64.0,4.0,62.0,750.0,32.0,21.0
2020-06-23,57.0,63.0,9.0,63.0,988.0,103.0,26.0
2020-06-24,110.0,127.0,9.0,60.0,1225.0,117.0,24.0
2020-06-25,118.0,112.0,15.0,61.0,1463.0,34.0,22.0
2020-06-26,152.0,149.0,11.0,60.0,1700.0,102.0,26.0
2020-06-27,85.0,111.0,12.0,69.0,1938.0,111.0,28.0
2020-06-28,318.0,329.0,32.0,76.0,2369.0,61.0,25.0
2020-06-29,102.0,107.0,10.0,61.0,1504.0,40.0,23.0
2020-06-30,222.0,227.0,19.0,71.0,2437.0,29.0,25.0
2020-07-01,175.0,147.0,19.0,73.0,2102.0,7.0,25.0
2020-07-02,14.0,28.0,5.0,44.0,375.0,75.0,29.0
2020-07-03,27.0,80.0,8.0,72.0,504.0,62.0,29.0
2020-07-04,22.0,64.0,7.0,57.0,400.0,68.0,28.0
2020-07-05,20.0,48.0,5.0,46.0,350.0,86.0,29.0
2020-07-06,57.0,135.0,14.0,59.0,767.0,125.0,29.0
2020-07-07,88.0,110.0,9.0,42.0,723.0,129.0,27.0
2020-07-08,98.0,90.0,6.0,55.0,804.0,84.0,25.0
2020-07-09,88.0,75.0,7.0,61.0,821.0,26.0,24.0
2020-07-10,31.0,42.0,4.0,54.0,535.0,18.0,23.0
2020-07-11,34.0,53.0,4.0,58.0,574.0,29.0,24.0
2020-07-12,68.0,84.0,6.0,55.0,714.0,100.0,27.0
2020-07-13,129.0,116.0,9.0,48.0,1096.0,108.0,28.0
2020-07-14,101.0,99.0,16.0,47.0,946.0,86.0,27.0
2020-07-15,48.0,32.0,4.0,53.0,1192.0,7.0,24.0
2020-07-16,23.0,32.0,5.0,41.0,477.0,52.0,27.0
2020-07-17,42.0,83.0,13.0,60.0,600.0,84.0,27.0
2020-07-18,146.0,131.0,16.0,54.0,1429.0,76.0,26.0
2020-07-19,130.0,123.0,10.0,50.0,812.0,96.0,27.0
2020-07-20,80.0,98.0,7.0,50.0,704.0,86.0,28.0
2020-07-21,76.0,106.0,9.0,58.0,767.0,84.0,27.0
2020-07-22,86.0,126.0,16.0,62.0,1067.0,90.0,26.0
2020-07-23,41.0,74.0,8.0,36.0,440.0,103.0,27.0
2020-07-24,36.0,65.0,9.0,50.0,438.0,58.0,29.0
2020-07-25,31.0,81.0,12.0,49.0,590.0,90.0,30.0
2020-07-26,51.0,80.0,28.0,65.0,1521.0,13.0,25.0
2020-07-27,106.0,87.0,6.0,68.0,1292.0,14.0,25.0
2020-07-28,70.0,58.0,7.0,54.0,1144.0,70.0,29.0
2020-07-29,59.0,98.0,5.0,82.0,825.0,48.0,28.0
2020-07-30,115.0,131.0,7.0,60.0,929.0,117.0,29.0
2020-07-31,44.0,66.0,6.0,47.0,502.0,112.0,26.0
2020-08-01,43.0,38.0,3.0,63.0,623.0,43.0,23.0
2020-08-02,70.0,74.0,7.0,59.0,825.0,75.0,26.0
2020-08-03,26.0,52.0,4.0,44.0,340.0,90.0,27.0
2020-08-04,78.0,93.0,6.0,41.0,643.0,114.0,27.0
2020-08-05,45.0,48.0,4.0,48.0,460.0,130.0,27.0
2020-08-06,134.0,172.0,5.0,62.0,849.0,100.0,29.0
2020-08-07,34.0,29.0,5.0,42.0,531.0,56.0,25.0
2020-08-08,28.0,63.0,7.0,58.0,560.0,79.0,27.0
2020-08-09,35.0,78.0,10.0,54.0,503.0,106.0,29.0
2020-08-10,92.0,146.0,10.0,54.0,951.0,137.0,30.0
2020-08-11,147.0,146.0,4.0,51.0,1247.0,60.0,27.0
2020-08-12,49.0,42.0,3.0,40.0,434.0,71.0,27.0
2020-08-13,87.0,93.0,8.0,54.0,821.0,92.0,29.0
2020-08-14,67.0,92.0,6.0,75.0,708.0,96.0,29.0
2020-08-15,121.0,139.0,9.0,61.0,1040.0,90.0,30.0
2020-08-16,126.0,153.0,8.0,67.0,1325.0,40.0,29.0
2020-08-17,44.0,67.0,12.0,48.0,558.0,52.0,31.0
2020-08-18,13.0,34.0,6.0,39.0,427.0,74.0,29.0
2020-08-19,21.0,50.0,6.0,60.0,506.0,65.0,28.0
2020-08-20,93.0,146.0,14.0,68.0,1221.0,88.0,26.0
2020-08-21,107.0,88.0,8.0,55.0,1019.0,60.0,26.0
2020-08-22,117.0,149.0,5.0,103.0,1169.0,17.0,24.0
2020-08-23,58.0,85.0,7.0,69.0,850.0,42.0,27.0
2020-08-24,34.0,82.0,7.0,73.0,665.0,56.0,27.0
2020-08-25,37.0,90.0,8.0,67.0,592.0,100.0,27.0
2020-08-26,52.0,106.0,12.0,64.0,796.0,92.0,28.0
2020-08-27,60.0,85.0,12.0,65.0,1315.0,27.0,24.0
2020-08-28,61.0,56.0,6.0,55.0,1808.0,19.0,24.0
2020-08-29,28.0,49.0,4.0,29.0,650.0,32.0,25.0
2020-08-30,9.0,25.0,2.0,32.0,267.0,38.0,22.0
2020-08-31,16.0,47.0,6.0,44.0,383.0,36.0,23.0
2020-09-01,42.0,91.0,11.0,50.0,858.0,73.0,23.0
2020-09-02,48.0,76.0,11.0,51.0,812.0,79.0,23.0
2020-09-03,94.0,132.0,11.0,56.0,1033.0,85.0,23.0
2020-09-04,70.0,66.0,5.0,52.0,917.0,48.0,20.0
2020-09-05,20.0,24.0,6.0,38.0,488.0,51.0,21.0
2020-09-06,64.0,68.0,14.0,53.0,1350.0,52.0,21.0
2020-09-07,72.0,88.0,11.0,65.0,1296.0,54.0,22.0
2020-09-08,86.0,118.0,20.0,65.0,1358.0,43.0,21.0
2020-09-09,75.0,81.0,11.0,54.0,804.0,59.0,22.0
2020-09-10,53.0,72.0,11.0,58.0,658.0,35.0,22.0
2020-09-11,58.0,107.0,16.0,64.0,729.0,63.0,22.0
2020-09-12,149.0,198.0,25.0,112.0,1538.0,35.0,21.0
2020-09-13,84.0,99.0,4.0,64.0,1071.0,14.0,19.0
2020-09-14,51.0,65.0,6.0,53.0,900.0,25.0,23.0
2020-09-15,21.0,64.0,11.0,56.0,442.0,25.0,20.0
2020-09-16,47.0,103.0,19.0,66.0,1012.0,24.0,21.0
2020-09-17,83.0,120.0,17.0,76.0,1871.0,1.0,20.0
2020-09-18,105.0,102.0,18.0,62.0,2246.0,18.0,21.0
2020-09-19,106.0,104.0,18.0,55.0,1721.0,34.0,22.0
2020-09-20,52.0,75.0,5.0,54.0,700.0,28.0,22.0
2020-09-21,39.0,76.0,9.0,53.0,479.0,57.0,23.0
2020-09-22,77.0,128.0,11.0,86.0,1208.0,5.0,20.0
2020-09-23,39.0,60.0,10.0,41.0,950.0,11.0,15.0
2020-09-24,10.0,24.0,7.0,40.0,408.0,21.0,15.0
2020-09-25,12.0,42.0,6.0,50.0,358.0,27.0,16.0
2020-09-26,42.0,94.0,16.0,73.0,758.0,24.0,16.0
2020-09-27,162.0,211.0,34.0,103.0,1662.0,52.0,17.0
2020-09-28,241.0,261.0,22.0,86.0,1379.0,48.0,16.0
2020-09-29,225.0,232.0,19.0,98.0,1446.0,13.0,17.0
2020-09-30,154.0,164.0,29.0,92.0,1479.0,14.0,18.0
2020-10-01,76.0,86.0,10.0,61.0,1029.0,18.0,17.0
2020-10-02,16.0,30.0,6.0,39.0,304.0,40.0,17.0
2020-10-03,57.0,92.0,31.0,63.0,1167.0,29.0,15.0
2020-10-04,139.0,171.0,47.0,92.0,2121.0,31.0,17.0
2020-10-05,281.0,300.0,30.0,113.0,2267.0,32.0,17.0
2020-10-06,226.0,236.0,45.0,99.0,2333.0,13.0,16.0
2020-10-07,78.0,93.0,44.0,60.0,908.0,25.0,19.0
2020-10-08,58.0,87.0,31.0,57.0,642.0,37.0,17.0
2020-10-09,142.0,184.0,45.0,95.0,1488.0,10.0,15.0
2020-10-10,76.0,105.0,46.0,41.0,662.0,26.0,17.0
2020-10-11,48.0,96.0,35.0,73.0,775.0,28.0,14.0
2020-10-12,65.0,86.0,5.0,82.0,821.0,16.0,16.0
2020-10-13,47.0,56.0,7.0,64.0,742.0,13.0,15.0
2020-10-14,31.0,38.0,3.0,48.0,542.0,11.0,12.0
2020-10-15,16.0,26.0,5.0,50.0,392.0,19.0,10.0
2020-10-16,50.0,82.0,8.0,68.0,746.0,14.0,11.0
2020-10-17,133.0,170.0,22.0,95.0,1288.0,12.0,11.0
2020-10-18,226.0,254.0,41.0,126.0,2150.0,4.0,11.0
2020-10-19,68.0,66.0,16.0,48.0,721.0,22.0,13.0
2020-10-20,25.0,48.0,8.0,56.0,485.0,14.0,11.0
2020-10-21,84.0,128.0,18.0,87.0,1000.0,16.0,11.0
2020-10-22,133.0,170.0,28.0,94.0,996.0,30.0,11.0
2020-10-23,26.0,67.0,8.0,44.0,425.0,21.0,9.0
2020-10-24,19.0,41.0,4.0,26.0,362.0,48.0,10.0
2020-10-25,41.0,63.0,10.0,58.0,650.0,34.0,9.0
2020-10-26,60.0,91.0,16.0,72.0,771.0,19.0,9.0
2020-10-27,185.0,226.0,36.0,122.0,1950.0,3.0,9.0
2020-10-28,284.0,302.0,48.0,118.0,2875.0,15.0,10.0
2020-10-29,37.0,49.0,14.0,46.0,708.0,26.0,10.0
2020-10-30,82.0,110.0,14.0,78.0,1100.0,11.0,8.0
2020-10-31,146.0,170.0,14.0,105.0,1662.0,7.0,8.0
2020-11-01,184.0,201.0,22.0,106.0,1758.0,4.0,8.0
2020-11-02,228.0,232.0,17.0,112.0,2042.0,9.0,8.0
2020-11-03,50.0,54.0,7.0,43.0,692.0,31.0,11.0
2020-11-04,37.0,61.0,13.0,59.0,675.0,17.0,9.0
2020-11-05,166.0,222.0,34.0,100.0,2117.0,2.0,9.0
2020-11-06,107.0,144.0,14.0,58.0,2429.0,28.0,10.0
2020-11-07,31.0,65.0,13.0,48.0,1919.0,17.0,8.0
2020-11-08,130.0,173.0,55.0,91.0,2346.0,6.0,6.0
2020-11-09,96.0,125.0,52.0,67.0,1721.0,19.0,9.0
2020-11-10,18.0,42.0,10.0,27.0,504.0,40.0,5.0
2020-11-11,34.0,55.0,19.0,47.0,642.0,19.0,7.0
2020-11-12,61.0,85.0,23.0,60.0,1225.0,19.0,7.0
2020-11-13,166.0,191.0,61.0,99.0,3038.0,9.0,6.0
2020-11-14,65.0,102.0,24.0,57.0,1346.0,30.0,8.0
2020-11-15,93.0,168.0,33.0,91.0,2096.0,7.0,6.0
2020-11-16,45.0,91.0,16.0,34.0,894.0,40.0,8.0
2020-11-17,10.0,20.0,10.0,27.0,483.0,35.0,5.0
2020-11-18,9.0,14.0,9.0,23.0,360.0,32.0,3.0
2020-11-19,32.0,51.0,16.0,40.0,708.0,12.0,2.0
2020-11-20,71.0,100.0,34.0,64.0,1933.0,10.0,3.0
2020-11-21,105.0,127.0,46.0,77.0,2304.0,4.0,4.0
2020-11-22,142.0,157.0,58.0,92.0,2379.0,4.0,3.0
2020-11-23,198.0,218.0,68.0,112.0,3454.0,3.0,5.0
2020-11-24,93.0,170.0,31.0,52.0,1738.0,15.0,8.0
2020-11-25,13.0,26.0,11.0,27.0,529.0,23.0,3.0
2020-11-26,17.0,50.0,12.0,24.0,708.0,34.0,2.0
2020-11-27,8.0,39.0,4.0,10.0,350.0,45.0,-2.0
2020-11-28,19.0,39.0,11.0,30.0,688.0,28.0,0.0
2020-11-29,56.0,92.0,27.0,74.0,1669.0,6.0,2.0
2020-11-30,35.0,57.0,30.0,48.0,1029.0,16.0,5.0
2020-12-01,66.0,96.0,36.0,74.0,1500.0,5.0,2.0
2020-12-02,109.0,134.0,59.0,84.0,2683.0,1.0,2.0
2020-12-03,74.0,103.0,44.0,62.0,1875.0,14.0,4.0
2020-12-04,86.0,108.0,43.0,71.0,2154.0,6.0,4.0
2020-12-05,38.0,57.0,29.0,44.0,1175.0,18.0,6.0
2020-12-06,120.0,154.0,52.0,79.0,2575.0,2.0,2.0
2020-12-07,265.0,276.0,83.0,104.0,4990.0,1.0,2.0
2020-12-08,199.0,197.0,66.0,76.0,3600.0,16.0,5.0
2020-12-09,10.0,13.0,11.0,25.0,500.0,32.0,2.0
2020-12-10,19.0,40.0,16.0,33.0,760.0,21.0,1.0
2020-12-11,22.0,34.0,15.0,41.0,746.0,19.0,1.0
2020-12-12,17.0,28.0,14.0,31.0,740.0,24.0,-2.0
2020-12-13,47.0,65.0,30.0,50.0,1276.0,8.0,-3.0
2020-12-14,56.0,72.0,37.0,57.0,1732.0,10.0,-2.0
2020-12-15,46.0,59.0,31.0,54.0,1551.0,13.0,-1.0
2020-12-16,126.0,145.0,73.0,79.0,1358.0,5.0,-1.0
2020-12-17,72.0,73.0,44.0,51.0,1166.0,17.0,-0.0
2020-12-18,33.0,56.0,24.0,39.0,973.0,23.0,-4.0
2020-12-19,33.0,61.0,27.0,50.0,1007.0,13.0,-4.0
2020-12-20,35.0,61.0,37.0,60.0,1142.0,13.0,-3.0
2020-12-21,58.0,80.0,44.0,69.0,1221.0,13.0,-4.0
2020-12-22,125.0,161.0,69.0,95.0,2604.0,5.0,-3.0
2020-12-23,130.0,183.0,76.0,98.0,3029.0,8.0,-3.0
2020-12-24,220.0,269.0,119.0,124.0,5242.0,2.0,-2.0
2020-12-25,181.0,254.0,88.0,100.0,4000.0,19.0,-2.0
2020-12-26,10.0,26.0,10.0,19.0,458.0,46.0,-3.0
2020-12-27,23.0,36.0,22.0,42.0,849.0,21.0,-2.0
2020-12-28,14.0,23.0,25.0,28.0,938.0,30.0,-2.0
2020-12-29,55.0,111.0,28.0,89.0,1688.0,6.0,-2.0
2020-12-30,34.0,97.0,34.0,49.0,938.0,25.0,3.0
2020-12-31,56.0,234.0,27.0,53.0,1133.0,29.0,4.0
2021-01-01,49.0,169.0,27.0,70.0,1406.0,19.0,3.0
2021-01-02,152.0,192.0,91.0,94.0,3438.0,1.0,2.0
2021-01-03,50.0,115.0,34.0,48.0,1083.0,25.0,4.0
2021-01-04,122.0,158.0,55.0,79.0,2304.0,1.0,-1.0
2021-01-05,90.0,117.0,42.0,71.0,1850.0,11.0,0.0
2021-01-06,125.0,132.0,60.0,67.0,2033.0,3.0,-1.0
2021-01-07,105.0,99.0,45.0,61.0,1671.0,13.0,2.0
2021-01-08,15.0,16.0,16.0,21.0,567.0,34.0,-2.0
2021-01-09,36.0,43.0,24.0,39.0,804.0,23.0,-3.0
2021-01-10,61.0,89.0,58.0,76.0,1642.0,3.0,-3.0
2021-01-11,109.0,155.0,77.0,99.0,2700.0,1.0,-2.0
2021-01-12,21.0,41.0,23.0,35.0,683.0,30.0,-1.0
2021-01-13,79.0,109.0,73.0,82.0,1925.0,4.0,-4.0
2021-01-14,88.0,104.0,82.0,81.0,2367.0,4.0,-3.0
2021-01-15,153.0,184.0,89.0,97.0,2671.0,5.0,-2.0
2021-01-16,358.0,397.0,134.0,134.0,4942.0,4.0,0.0
2021-01-17,124.0,134.0,65.0,66.0,2179.0,14.0,-0.0
2021-01-18,60.0,85.0,45.0,68.0,1417.0,11.0,-0.0
2021-01-19,110.0,206.0,78.0,72.0,2604.0,14.0,1.0
2021-01-20,9.0,38.0,8.0,7.0,442.0,50.0,-0.0
2021-01-21,39.0,60.0,34.0,40.0,876.0,26.0,-2.0
2021-01-22,120.0,145.0,80.0,94.0,2438.0,4.0,-2.0
2021-01-23,221.0,253.0,135.0,127.0,4262.0,1.0,-1.0
2021-01-24,151.0,169.0,89.0,92.0,2725.0,6.0,2.0
2021-01-25,25.0,47.0,27.0,38.0,717.0,35.0,4.0
2021-01-26,45.0,72.0,44.0,38.0,762.0,34.0,-0.0
2021-01-27,87.0,112.0,63.0,61.0,1679.0,20.0,2.0
2021-01-28,39.0,70.0,24.0,42.0,854.0,37.0,1.0
2021-01-29,120.0,138.0,79.0,79.0,2292.0,3.0,-1.0
2021-01-30,61.0,78.0,39.0,41.0,1100.0,38.0,3.0
2021-01-31,132.0,162.0,67.0,50.0,1329.0,15.0,1.0
2021-02-01,130.0,128.0,57.0,60.0,1796.0,2.0,3.0
2021-02-02,64.0,90.0,17.0,28.0,1133.0,40.0,4.0
2021-02-03,6.0,30.0,6.0,8.0,354.0,67.0,-1.0
2021-02-04,25.0,36.0,19.0,22.0,583.0,52.0,-3.0
2021-02-05,88.0,101.0,56.0,47.0,1504.0,20.0,-3.0
2021-02-06,120.0,118.0,69.0,65.0,2000.0,11.0,-1.0
2021-02-07,84.0,60.0,33.0,53.0,1283.0,13.0,-3.0
2021-02-08,53.0,38.0,19.0,31.0,1042.0,37.0,-2.0
2021-02-09,9.0,10.0,16.0,16.0,458.0,54.0,-5.0
2021-02-10,20.0,20.0,19.0,33.0,654.0,43.0,-6.0
2021-02-11,100.0,98.0,61.0,71.0,2000.0,10.0,-5.0
2021-02-12,120.0,110.0,51.0,75.0,2346.0,7.0,-2.0
2021-02-13,184.0,174.0,71.0,80.0,2812.0,1.0,-3.0
2021-02-14,244.0,255.0,75.0,97.0,3148.0,5.0,-2.0
2021-02-15,402.0,400.0,100.0,111.0,3767.0,6.0,-1.0
2021-02-16,321.0,292.0,84.0,89.0,3350.0,19.0,2.0
2021-02-17,81.0,78.0,63.0,64.0,1800.0,26.0,2.0
2021-02-18,65.0,74.0,33.0,58.0,1077.0,25.0,-1.0
2021-02-19,63.0,73.0,37.0,53.0,1221.0,26.0,1.0
2021-02-20,211.0,226.0,39.0,81.0,2262.0,3.0,-1.0
2021-02-21,248.0,271.0,76.0,99.0,2562.0,6.0,1.0
2021-02-22,261.0,304.0,111.0,105.0,3612.0,4.0,3.0
2021-02-23,197.0,230.0,130.0,85.0,3442.0,3.0,3.0
2021-02-24,242.0,306.0,137.0,119.0,4438.0,3.0,3.0
2021-02-25,382.0,398.0,84.0,124.0,5133.0,4.0,4.0
2021-02-26,363.0,345.0,95.0,123.0,4265.0,8.0,5.0
2021-02-27,16.0,10.0,12.0,24.0,462.0,56.0,4.0
2021-02-28,89.0,101.0,34.0,74.0,1438.0,8.0,2.0
2021-03-01,81.0,96.0,39.0,58.0,1488.0,36.0,6.0
2021-03-02,137.0,166.0,70.0,91.0,2583.0,14.0,4.0
2021-03-03,224.0,254.0,115.0,98.0,4479.0,2.0,2.0
2021-03-04,60.0,70.0,30.0,40.0,1196.0,45.0,5.0
2021-03-05,21.0,36.0,15.0,46.0,633.0,36.0,2.0
2021-03-06,14.0,26.0,12.0,31.0,521.0,52.0,4.0
2021-03-07,52.0,78.0,26.0,58.0,1083.0,23.0,4.0
2021-03-08,147.0,175.0,74.0,97.0,2392.0,9.0,4.0
2021-03-09,97.0,118.0,45.0,75.0,1492.0,22.0,4.0
2021-03-10,81.0,102.0,54.0,77.0,1679.0,12.0,4.0
2021-03-11,156.0,196.0,86.0,88.0,2404.0,31.0,8.0
2021-03-12,10.0,20.0,9.0,22.0,421.0,63.0,8.0
2021-03-13,23.0,86.0,14.0,42.0,608.0,41.0,7.0
2021-03-14,22.0,87.0,13.0,32.0,496.0,56.0,11.0
2021-03-15,102.0,200.0,47.0,99.0,1538.0,15.0,12.0
2021-03-16,114.0,213.0,77.0,72.0,2075.0,43.0,12.0
2021-03-17,85.0,255.0,28.0,56.0,1121.0,39.0,13.0
2021-03-18,38.0,136.0,15.0,44.0,579.0,56.0,12.0
2021-03-19,53.0,113.0,17.0,53.0,821.0,37.0,9.0
2021-03-20,12.0,30.0,5.0,23.0,362.0,61.0,12.0
2021-03-21,28.0,80.0,13.0,53.0,596.0,43.0,13.0
2021-03-22,58.0,151.0,18.0,68.0,929.0,37.0,14.0
2021-03-23,132.0,187.0,42.0,87.0,1429.0,61.0,13.0
2021-03-24,230.0,269.0,55.0,115.0,1921.0,40.0,13.0
2021-03-25,215.0,255.0,45.0,114.0,1617.0,57.0,15.0
